0, 0, 3.14, 0, 0
0.000592781, 2.63155e-06, 3.14001, 0.00887864, 0.0174958
0.00118556, 1.05262e-05, 3.14002, 0.0177573, 0.0349915
0.00177834, 2.36839e-05, 3.14005, 0.0266359, 0.052487
0.00237112, 4.21047e-05, 3.14008, 0.0355145, 0.069982
0.00296391, 6.57885e-05, 3.14013, 0.0443931, 0.0874766
0.00355669, 9.47355e-05, 3.14019, 0.0532716, 0.10497
0.00414947, 0.000128945, 3.14025, 0.0621502, 0.122464
0.00474225, 0.000168418, 3.14033, 0.0710286, 0.139956
0.00533503, 0.000213154, 3.14042, 0.0799071, 0.157447
0.00592781, 0.000263153, 3.14052, 0.0887854, 0.174937
0.00652059, 0.000318415, 3.14063, 0.0976638, 0.192426
0.00711337, 0.00037894, 3.14075, 0.106542, 0.209913
0.00770615, 0.000444727, 3.14088, 0.11542, 0.227398
0.00829893, 0.000515777, 3.14102, 0.124298, 0.244882
0.00889172, 0.00059209, 3.14117, 0.133176, 0.262365
0.0094845, 0.000673666, 3.14133, 0.142054, 0.279845
0.0100773, 0.000760505, 3.1415, 0.150932, 0.297323
0.0106701, 0.000852605, 3.14168, 0.15981, 0.314799
0.0112628, 0.000949969, 3.14187, 0.168687, 0.332272
0.0118556, 0.00105259, 3.14207, 0.177565, 0.349744
0.0124484, 0.00116048, 3.14229, 0.186442, 0.367212
0.0130412, 0.00127363, 3.14251, 0.19532, 0.384678
0.013634, 0.00139205, 3.14274, 0.204197, 0.402141
0.0142267, 0.00151572, 3.14299, 0.213074, 0.4196
0.0148195, 0.00164466, 3.14324, 0.221951, 0.437057
0.0154123, 0.00177886, 3.1435, 0.230827, 0.454511
0.0160051, 0.00191832, 3.14378, 0.239704, 0.471961
0.0165979, 0.00206304, 3.14406, 0.24858, 0.489407
0.0171907, 0.00221303, 3.14436, 0.257457, 0.50685
0.0177834, 0.00236827, 3.14466, 0.266333, 0.524289
0.0183762, 0.00252878, 3.14498, 0.275208, 0.541724
0.018969, 0.00269455, 3.14531, 0.284084, 0.559155
0.0195618, 0.00286558, 3.14564, 0.29296, 0.576582
0.0201546, 0.00304187, 3.14599, 0.301835, 0.594004
0.0207473, 0.00322342, 3.14635, 0.31071, 0.611422
0.0213401, 0.00341024, 3.14672, 0.319585, 0.628836
0.0219329, 0.00360231, 3.14709, 0.328459, 0.646245
0.0225257, 0.00379965, 3.14748, 0.337334, 0.663648
0.0231185, 0.00400224, 3.14788, 0.346208, 0.681047
0.0237112, 0.0042101, 3.14829, 0.355082, 0.698441
0.024304, 0.00442321, 3.14871, 0.363955, 0.715829
0.0248968, 0.00464159, 3.14914, 0.372829, 0.733212
0.0254896, 0.00486522, 3.14958, 0.381702, 0.750589
